,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
262,KRSTL.IS,-0.058609330145113804,-0.06922211121163593,-0.010612781066522132,24.016196027056843,0.514200278933517,58.01526717557254,48.614943463199765,140358744.0,52.74910573344111,-342005053.3668334,21.36308247565575,-17.794917114670167,1.6897028081386065,0.0191970749118234,0.342137039945983,6.554269757280485,6.513333320617676,6.62,5.414012738853491
263,KRTEK.IS,-0.1310428175491556,0.5571156973795042,0.6881585149286598,41.8968195127629,0.6846523329444609,48.71428571428573,47.344354356678465,5438593.0,54.69016630672034,-13680695.329559065,28.263687841728274,55.18863185896607,20.649454579296233,-0.07610149558618483,1.7197244250640062,29.798864287246797,28.953333536783855,28.98,-0.8891928864569021
264,KRVGD.IS,0.000865421472950898,0.002973490603719098,0.0021080691307682,7.092641890431963,0.4191252682893081,7.758623262142998,43.706326212987676,-291510677.0,45.79291692166785,-279852322.6138202,16.14770590234445,-61.40355486504852,2.9702942250534496,-0.02664040760692085,0.09129919605103684,2.0813589707833033,2.069999933242798,2.08,1.4634146341463428
265,KTLEV.IS,0.021159623496285473,0.21869044942435556,0.1975308259280701,17.519228206346117,0.7397426788240912,26.458574181117534,43.788353052543236,-87929570.0,58.091400018795404,-542924586.3364115,23.043106812817708,93.46624876863483,4.801087192290496,-0.061161690420264085,3.3908863174707733,72.48660689193385,72.73333231608073,72.25,-2.100271002710019
266,KTSKR.IS,-0.09210865525034129,-0.5985343771319293,-0.506425721881588,15.916858101607918,0.19002582415795577,15.77235772357724,18.305311397401038,7921934.0,43.85785832890057,-17719556.417657286,19.100545925823752,-108.11879718161975,-5.8028639703246885,-0.10966997938813518,2.288179883490291,59.25674469040567,59.20000076293945,59.25,1.0230179028132946
267,KUTPO.IS,0.07814637604774188,-0.31930298288552916,-0.39744935893327105,11.213559929021738,0.24456435824544104,30.0794551645857,36.38225855082035,5479092.0,45.292443595031784,-17856687.74560957,22.768749822808672,-92.62366891043838,-2.722447501560834,-0.011572716956860785,2.860300151982867,73.38275936505856,73.08333333333333,73.25,0.2737850787132068
268,KUYAS.IS,0.033549908985732735,-0.7098969648895848,-0.7434468738753175,29.648091986167117,0.21741468965184826,180.41074249605063,42.869770492464,294911597.0,47.05187384353513,116894452.41118991,24.408144426457458,-89.73506114012176,-10.68947139425459,-0.24974701693209234,2.519643465829972,34.135212482351804,34.06666564941406,33.42,-5.325779036827183
269,KZBGY.IS,0.008820025851620589,0.13524423459866308,0.1264242087470425,46.48332204346979,0.9539916759698611,2879.999999999993,83.77149451547065,1072259820.0,79.91416767127369,-138955713.4632659,43.02912563154234,130.56093780246502,31.197775787045316,0.11603397646754121,0.49283083356943064,9.04204875412142,9.296666463216146,9.42,5.487122060470329
270,KZGYO.IS,-0.09400914420103862,-0.19940548681613735,-0.10539634261509873,15.339062895892724,0.1101957263652483,17.593790426908143,27.69867199748404,33476331.0,38.36281148884604,-67794810.46882263,23.369373299417802,-132.08244059279812,-8.505405748564941,-0.10158946700494484,0.6678510764652117,18.722687562629126,18.50000063578288,18.61,1.6939890710382377
271,LIDER.IS,1.5194140810171402,1.5771412255292692,0.05772714451212907,30.648771761054302,0.6752307801385896,814.2011834319524,59.06713645968776,53259268.0,57.64548616137093,11081006.485722475,28.83709074151173,65.53921694230527,6.757829582178206,0.1326734954946163,13.20625030583054,201.30517098386196,201.13333129882812,200.0,-1.429275505174965
