symbol,price_change_pct,current_price,start_price,current_RSI,rsi_change,current_ADX,adx_change,current_MACD,macd_change,current_MFI,mfi_change,current_Stoch_K,stoch_change,current_BB_B,bb_b_change,YF_pct,trend_direction,BB_potential,BB_downside,period_high,period_low,period_volatility
DZGYO.IS,-5.236485452439521,5.610000133514404,5.920000076293945,28.46740750367573,-0.16587419915242307,12.476651991292304,-15.068637902639225,-0.2650365431255848,0.2358723838674015,29.545732587637367,6.728788871425948,2.8937878986182572,-5.545567410452454,0.0355523880180805,-0.15136409190925398,1.8181860967674652,sideways,16.064553593540776,-0.5921869011849656,6.659999847412109,5.539999961853027,0.23967961437775298
CWENE.IS,-5.273567479970009,14.369999885559082,15.170000076293945,28.46441923684533,-3.980711027104334,14.341902023145055,-1.9126712965966863,-0.3955932088725529,0.1630208999407987,38.92670131634282,23.581818621618872,1.0722513119707502,-1.1792125654574792,-0.06262820365781775,-0.1594310696509934,0.0,sideways,22.10039241272885,1.3025325999984183,17.90999984741211,14.369999885559082,0.7665731741020646
PENTA.IS,-5.457232314845295,12.819999694824219,13.5600004196167,37.1395980977719,-14.249735317651556,20.04229937398159,3.570402855669805,-0.12093350296543193,0.10245017705710424,59.85944899478565,25.211726837500272,1.9203947887872312,-33.18599574507786,0.14885081512275167,-0.5810474084098806,14.691939486430595,downtrend,18.13195907478495,-3.1709563211804626,15.899999618530273,12.800000190734863,0.7004953608685566
VAKFN.IS,-5.504592674447206,2.059999942779541,2.180000066757202,35.327843044659815,-9.379787726897732,9.69413016967498,-2.867303246526358,-0.047012058818367564,-0.015184856182999695,58.86961920402343,15.390523388380203,4.178181144596109,-2.3792012440656958,0.002449407495204196,-0.23311093148391915,21.518979701376235,sideways,17.76206206926716,-0.04361335484098783,2.4000000953674316,2.049999952316284,0.09408142066306564
AKMGY.IS,-5.505047422466857,187.10000610351562,198.0,34.67269596717026,-4.784639719779115,18.332019796621097,-0.4644655459997935,-4.969627562535948,0.08896362891985632,30.287143796069937,0.4823851255523479,10.086152782593373,-3.39631912995908,0.03953789134849073,-0.12363508498855388,0.9954468625979775,sideways,11.187412266584973,-0.46053528471626803,210.39999389648438,186.5,5.589866218687986
OZKGY.IS,-5.597724428114359,9.949999809265137,10.539999961853027,34.923795603899,-8.734695234885535,17.27263741808055,-7.644485029803409,-0.20989565727240667,0.1173083401945263,41.39062974571931,-7.348625565553618,5.619784876027468,-11.684305610347927,0.10189376156734746,-0.26682642632536313,1.365186269174385,sideways,12.288676258381104,-1.3941997005109341,11.180000305175781,9.90999984741211,0.3492035646922183
PARSN.IS,-5.600003756009619,76.69999694824219,81.25,36.74631921143382,-15.722104560811346,14.240664334550116,-4.135814663763819,-0.7995622789097467,-1.6470500848953975,39.715185629941715,-25.1636745054751,0.9654955437045772,-41.987535358257496,-0.012680143166139222,-0.6400070311768369,24.338614300229164,sideways,14.260817736263952,0.17856498103803187,91.0,76.69999694824219,2.7704204714379945
MPARK.IS,-5.613772455089816,315.25,334.0,36.44077789401357,-19.043590741103372,16.14593151037164,-3.896113874906881,-0.9130637838132429,-1.2564589601403782,44.09736522301333,-22.010329012832088,5.361305361305366,-71.00685384267473,0.03167101919771313,-0.8237961236953664,39.16913946587537,sideways,14.42910793696468,-0.47193109318990345,361.5,315.25,12.048968071123243
ANGEN.IS,-5.745065741459932,10.5,11.140000343322754,31.292088236089693,-13.324232412954654,7.976484525528046,-3.650653136748967,-0.1609220566623435,0.11508633101604104,55.90190265296122,37.68983138200862,5.497488898832626,-6.987119994943998,-0.2546707992308091,-0.6801521365804271,6.01264523917308,sideways,7.8297737814320145,1.5892732563284273,11.479999542236328,10.470000267028809,0.16806873417947402
TURSG.IS,-5.768133727467884,16.5,17.510000228881836,41.80234159780933,-4.6442227612056115,23.425648763259478,6.579286162002855,-0.34502859882660175,-0.4079954628058111,49.34011633899876,0.9632429880325262,34.52994144931053,19.419399373231613,0.2401482462692698,-0.062283378075161516,29.36170575412611,downtrend,9.357361540204746,-2.957358395969445,17.979999542236328,15.739999771118164,0.5211787377433761
